famille,pg_id,gamme,alias,pg_level,pg_top,g_level_estime,keyword_generique,keyword_voiture
"Moteur",592,"Carter d'huile",carter-d-huile,1,0,G2,"carter d'huile","carter d'huile voiture"
"Moteur",432,"Culbuteur",culbuteur,2,0,G3,"culbuteur","culbuteur voiture"
"Moteur",2197,"Interrupteur position de marche",interrupteur-position-de-marche,2,0,G3,"interrupteur position de marche","interrupteur position de marche voiture"
"Moteur",599,"Jauge de niveau d'huile",jauge-de-niveau-d-huile,2,0,G3,"jauge de niveau d'huile","jauge de niveau d'huile voiture"
"Moteur",568,"Joint carter de distribution",joint-carter-de-distribution,2,0,G3,"joint carter de distribution","joint carter de distribution voiture"
"Moteur",128,"Joint chemise de cylindre",joint-chemise-de-cylindre,2,0,G3,"joint chemise de cylindre","joint chemise de cylindre voiture"
"Moteur",146,"Joint de boîte vitesse",joint-de-boite-vitesse,2,0,G3,"joint de boîte vitesse","joint de boîte vitesse voiture"
"Moteur",321,"Joint de cache culbuteurs",joint-de-cache-culbuteurs,1,0,G2,"joint de cache culbuteurs","joint de cache culbuteurs voiture"
"Moteur",455,"Joint de carter d'huile",joint-de-carter-d-huile,2,0,G3,"joint de carter d'huile","joint de carter d'huile voiture"
"Moteur",40,"Joint de collecteur",joint-de-collecteur,1,0,G2,"joint de collecteur","joint de collecteur voiture"
"Moteur",318,"Joint de culasse",joint-de-culasse,1,0,G2,"joint de culasse","joint de culasse voiture"
"Moteur",322,"Joint tige de soupape",joint-tige-de-soupape,2,0,G3,"joint tige de soupape","joint tige de soupape voiture"
"Moteur",3320,"Kit de poussoir culbuteur",kit-de-poussoir-culbuteur,2,0,G3,"kit de poussoir culbuteur","kit de poussoir culbuteur voiture"
"Moteur",3072,"Mécatronique boîte automatique",mecatronique-boite-automatique,2,0,G3,"mécatronique boîte automatique","mécatronique boîte automatique voiture"
"Moteur",560,"Pochette joints moteur",pochette-joints-moteur,2,0,G3,"pochette joints moteur","pochette joints moteur voiture"
"Moteur",596,"Pompe à huile",pompe-a-huile,2,0,G3,"pompe à huile","pompe à huile voiture"
"Moteur",1216,"Poussoir de soupape",poussoir-de-soupape,1,0,G2,"poussoir de soupape","poussoir de soupape voiture"
"Moteur",469,"Radiateur d'huile",radiateur-d-huile,2,0,G3,"radiateur d'huile","radiateur d'huile voiture"
